Age,Work Class,Education,Marital Status,Height (cm),Number of Siblings,Occupation,Relatioship,Race,Gender,Hours Per Week,Country,Income Per Annum
39, State-gov, Bachelors, Never-married,146,3, Adm-clerical, Not-in-family, White, Male,40, United-States,20874
50, Self-emp-not-inc, Bachelors, Married-civ-spouse,156,0, Exec-managerial, Husband, White, Male,13, United-States,46620
38, Private, HS-grad, Divorced,161,3, Handlers-cleaners, Not-in-family, White, Male,40, United-States,43462
53, Private, 11th, Married-civ-spouse,183,0, Handlers-cleaners, Husband, Black, Male,40, United-States,44839
28, Private, Bachelors, Married-civ-spouse,173,0, Prof-specialty, Wife, Black, Female,40, Cuba,37868
37, Private, Masters, Married-civ-spouse,148,2, Exec-managerial, Wife, White, Female,40, United-States,46239
49, Private, 9th, Married-spouse-absent,183,5, Other-service, Not-in-family, Black, Female,16, Jamaica,38563
52, Self-emp-not-inc, HS-grad, Married-civ-spouse,168,0, Exec-managerial, Husband, White, Male,45, United-States,54452
31, Private, Masters, Never-married,157,4, Prof-specialty, Not-in-family, White, Female,50, United-States,68630
42, Private, Bachelors, Married-civ-spouse,149,2, Exec-managerial, Husband, White, Male,40, United-States,111657
37, Private, Some-college, Married-civ-spouse,179,2, Exec-managerial, Husband, Black, Male,80, United-States,169248
30, State-gov, Bachelors, Married-civ-spouse,150,3, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India,92098
23, Private, Bachelors, Never-married,183,2, Adm-clerical, Own-child, White, Female,30, United-States,31942
32, Private, Assoc-acdm, Never-married,176,6, Sales, Not-in-family, Black, Male,50, United-States,34919
40, Private, Assoc-voc, Married-civ-spouse,165,1, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?,105563
34, Private, 7th-8th, Married-civ-spouse,164,1, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico,30007
25, Self-emp-not-inc, HS-grad, Never-married,187,5, Farming-fishing, Own-child, White, Male,35, United-States,45308
32, Private, HS-grad, Never-married,189,1, Machine-op-inspct, Unmarried, White, Male,40, United-States,48087
38, Private, 11th, Married-civ-spouse,160,4, Sales, Husband, White, Male,50, United-States,45937
43, Self-emp-not-inc, Masters, Divorced,187,2, Exec-managerial, Unmarried, White, Female,45, United-States,197728
40, Private, Doctorate, Married-civ-spouse,156,4, Prof-specialty, Husband, White, Male,60, United-States,119561
54, Private, HS-grad, Separated,171,5, Other-service, Unmarried, Black, Female,20, United-States,22866
35, Federal-gov, 9th, Married-civ-spouse,157,4, Farming-fishing, Husband, Black, Male,40, United-States,31063
43, Private, 11th, Married-civ-spouse,169,4, Transport-moving, Husband, White, Male,40, United-States,26594
59, Private, HS-grad, Divorced,167,5, Tech-support, Unmarried, White, Female,40, United-States,40750
56, Local-gov, Bachelors, Married-civ-spouse,152,6, Tech-support, Husband, White, Male,40, United-States,97561
19, Private, HS-grad, Never-married,174,5, Craft-repair, Own-child, White, Male,40, United-States,28845
54, ?, Some-college, Married-civ-spouse,178,0, ?, Husband, Asian-Pac-Islander, Male,60, South,82187
39, Private, HS-grad, Divorced,196,4, Exec-managerial, Not-in-family, White, Male,80, United-States,21325
49, Private, HS-grad, Married-civ-spouse,146,6, Craft-repair, Husband, White, Male,40, United-States,30244
23, Local-gov, Assoc-acdm, Never-married,171,3, Protective-serv, Not-in-family, White, Male,52, United-States,29130
20, Private, Some-college, Never-married,165,1, Sales, Own-child, Black, Male,44, United-States,49633
45, Private, Bachelors, Divorced,185,5, Exec-managerial, Own-child, White, Male,40, United-States,21339
30, Federal-gov, Some-college, Married-civ-spouse,165,5, Adm-clerical, Own-child, White, Male,40, United-States,40098
22, State-gov, Some-college, Married-civ-spouse,150,6, Other-service, Husband, Black, Male,15, United-States,27374
48, Private, 11th, Never-married,166,4, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico,42758
21, Private, Some-college, Never-married,156,5, Machine-op-inspct, Own-child, White, Male,40, United-States,49902
19, Private, HS-grad, Married-AF-spouse,198,4, Adm-clerical, Wife, White, Female,25, United-States,40016
31, Private, Some-college, Married-civ-spouse,173,2, Sales, Husband, White, Male,38, ?,116163
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse,173,2, Prof-specialty, Husband, White, Male,40, United-States,38786
31, Private, 9th, Married-civ-spouse,158,0, Machine-op-inspct, Husband, White, Male,43, United-States,27672
53, Self-emp-not-inc, Bachelors, Married-civ-spouse,162,6, Prof-specialty, Husband, White, Male,40, United-States,33625
24, Private, Bachelors, Married-civ-spouse,199,0, Tech-support, Husband, White, Male,50, United-States,49916
49, Private, HS-grad, Separated,173,5, Adm-clerical, Unmarried, White, Female,40, United-States,36379
25, Private, HS-grad, Never-married,163,1, Handlers-cleaners, Not-in-family, White, Male,35, United-States,46398
57, Federal-gov, Bachelors, Married-civ-spouse,174,2, Prof-specialty, Husband, Black, Male,40, United-States,132234
53, Private, HS-grad, Married-civ-spouse,175,0, Machine-op-inspct, Husband, White, Male,38, United-States,31180
44, Private, Masters, Divorced,154,2, Exec-managerial, Unmarried, White, Female,40, United-States,33353
41, State-gov, Assoc-voc, Married-civ-spouse,149,3, Craft-repair, Husband, White, Male,40, United-States,20677
29, Private, Assoc-voc, Never-married,183,5, Prof-specialty, Not-in-family, White, Male,43, United-States,42209
25, Private, Some-college, Married-civ-spouse,198,4, Exec-managerial, Wife, Other, Female,40, United-States,22981
18, Private, HS-grad, Never-married,180,1, Other-service, Own-child, White, Female,30, ?,45081
47, Private, Prof-school, Married-civ-spouse,147,6, Prof-specialty, Wife, White, Female,60, Honduras,91878
50, Federal-gov, Bachelors, Divorced,183,0, Exec-managerial, Not-in-family, White, Male,55, United-States,172704
47, Self-emp-inc, HS-grad, Divorced,197,3, Exec-managerial, Not-in-family, White, Male,60, United-States,46298
43, Private, Some-college, Married-civ-spouse,147,1, Tech-support, Husband, White, Male,40, United-States,108180
46, Private, 5th-6th, Married-civ-spouse,157,4, Machine-op-inspct, Husband, White, Male,40, Mexico,21753
35, Private, Assoc-voc, Married-civ-spouse,176,1, Other-service, Husband, White, Male,40, Puerto-Rico,21892
41, Private, HS-grad, Married-civ-spouse,178,2, Adm-clerical, Husband, White, Male,48, United-States,44214
30, Private, HS-grad, Married-civ-spouse,177,4, Machine-op-inspct, Husband, White, Male,40, United-States,42440
30, Private, Bachelors, Married-civ-spouse,187,4, Sales, Husband, White, Male,40, United-States,39064
32, ?, 7th-8th, Married-spouse-absent,197,0, ?, Not-in-family, White, Male,40, ?,33975
48, Private, HS-grad, Married-civ-spouse,163,3, Transport-moving, Husband, White, Male,40, United-States,46745
42, Private, Doctorate, Married-civ-spouse,200,4, Prof-specialty, Husband, White, Male,45, United-States,51402
29, Private, Some-college, Divorced,159,1, Tech-support, Not-in-family, White, Male,58, United-States,44954
36, Private, HS-grad, Married-civ-spouse,194,0, Craft-repair, Husband, White, Male,40, United-States,36508
28, Private, Some-college, Divorced,179,1, Adm-clerical, Not-in-family, White, Female,40, United-States,23338
53, Private, HS-grad, Married-civ-spouse,147,0, Adm-clerical, Wife, White, Female,40, United-States,70616
49, Self-emp-inc, Some-college, Married-civ-spouse,158,2, Exec-managerial, Husband, White, Male,50, United-States,113619
25, ?, Some-college, Never-married,178,2, ?, Own-child, White, Male,40, United-States,23506
19, Private, Some-college, Never-married,165,6, Prof-specialty, Own-child, White, Male,32, United-States,32881
31, Private, Bachelors, Separated,196,4, Sales, Own-child, Black, Female,40, United-States,45788
29, Self-emp-not-inc, Bachelors, Married-civ-spouse,192,6, Sales, Husband, White, Male,70, United-States,145269
23, Private, Some-college, Never-married,197,3, Machine-op-inspct, Not-in-family, White, Male,40, United-States,36757
79, Private, Some-college, Married-civ-spouse,156,0, Prof-specialty, Other-relative, White, Male,20, United-States,38156
27, Private, HS-grad, Never-married,161,3, Other-service, Own-child, White, Male,40, Mexico,23189
40, Private, Assoc-acdm, Married-civ-spouse,169,3, Adm-clerical, Husband, White, Male,40, United-States,45705
67, ?, 10th, Married-civ-spouse,172,1, ?, Husband, White, Male,2, United-States,46935
18, Private, 11th, Never-married,159,0, Other-service, Own-child, White, Female,22, United-States,26706
31, Local-gov, 7th-8th, Married-civ-spouse,146,5, Farming-fishing, Husband, White, Male,40, United-States,30005
18, Private, HS-grad, Never-married,168,6, Sales, Not-in-family, White, Male,30, United-States,32163
52, Private, Bachelors, Married-civ-spouse,179,6, Other-service, Husband, White, Male,40, Cuba,35901
46, Private, HS-grad, Married-civ-spouse,165,4, Other-service, Wife, White, Female,40, United-States,38788
59, Private, HS-grad, Married-civ-spouse,197,0, Sales, Husband, White, Male,48, United-States,40725
44, Private, HS-grad, Divorced,170,6, Craft-repair, Not-in-family, White, Female,40, United-States,163473
53, Private, HS-grad, Divorced,158,6, Sales, Own-child, White, Female,35, United-States,20335
49, Local-gov, HS-grad, Married-civ-spouse,163,0, Protective-serv, Husband, White, Male,40, United-States,169563
33, Private, Masters, Married-civ-spouse,197,1, Prof-specialty, Husband, White, Male,50, United-States,42960
30, Private, 9th, Never-married,156,2, Sales, Not-in-family, White, Male,40, United-States,32520
43, Federal-gov, Doctorate, Never-married,184,1, Prof-specialty, Not-in-family, White, Female,50, United-States,107395
57, Private, Assoc-voc, Married-civ-spouse,166,3, Prof-specialty, Husband, White, Male,40, United-States,38391
37, Private, Some-college, Divorced,166,6, Craft-repair, Unmarried, White, Female,40, United-States,39612
28, Private, Some-college, Divorced,188,6, Machine-op-inspct, Unmarried, Black, Female,25, United-States,41992
30, Private, HS-grad, Married-civ-spouse,149,0, Sales, Wife, Asian-Pac-Islander, Female,35, ?,44338
34, Local-gov, Bachelors, Married-civ-spouse,199,5, Protective-serv, Husband, White, Male,40, United-States,193205
29, Local-gov, Some-college, Never-married,191,1, Handlers-cleaners, Not-in-family, White, Male,50, United-States,23801
48, Self-emp-not-inc, Doctorate, Married-civ-spouse,162,2, Prof-specialty, Husband, White, Male,60, United-States,104323
37, Private, Some-college, Married-civ-spouse,152,2, Sales, Husband, White, Male,48, United-States,78405
48, Private, Assoc-acdm, Divorced,195,1, Exec-managerial, Unmarried, White, Female,40, England,37865
32, Federal-gov, HS-grad, Never-married,147,4, Other-service, Own-child, Black, Male,40, United-States,25553
76, Private, Masters, Married-civ-spouse,178,0, Exec-managerial, Husband, White, Male,40, United-States,192261
44, Private, Bachelors, Married-civ-spouse,192,4, Exec-managerial, Husband, White, Male,60, United-States,50374
47, Self-emp-not-inc, Masters, Never-married,183,1, Prof-specialty, Not-in-family, White, Female,50, United-States,32856
20, Private, Some-college, Never-married,172,0, Tech-support, Own-child, White, Female,40, United-States,28517
29, Private, HS-grad, Never-married,198,2, Craft-repair, Not-in-family, White, Male,40, United-States,48461
32, Self-emp-inc, HS-grad, Married-civ-spouse,174,5, Craft-repair, Husband, White, Male,40, United-States,125236
17, ?, 10th, Never-married,155,0, ?, Own-child, White, Female,32, United-States,49436
30, Private, 11th, Never-married,153,3, Handlers-cleaners, Own-child, White, Male,40, United-States,22370
31, Local-gov, HS-grad, Never-married,157,1, Adm-clerical, Not-in-family, White, Female,40, United-States,29138
42, Private, HS-grad, Married-civ-spouse,148,2, Handlers-cleaners, Husband, White, Male,40, United-States,37047
24, Private, Bachelors, Never-married,145,3, Sales, Other-relative, White, Male,40, United-States,21595
38, Private, Prof-school, Married-civ-spouse,180,2, Prof-specialty, Husband, White, Male,40, United-States,113973
56, Self-emp-not-inc, HS-grad, Married-civ-spouse,169,1, Other-service, Husband, White, Male,50, Canada,163380
28, Private, Some-college, Married-civ-spouse,195,2, Sales, Wife, White, Female,25, United-States,41081
36, Private, HS-grad, Never-married,156,2, Machine-op-inspct, Own-child, White, Female,40, United-States,38267
53, Private, 9th, Married-civ-spouse,174,2, Handlers-cleaners, Husband, White, Male,50, United-States,22844
56, Self-emp-inc, Some-college, Married-civ-spouse,147,0, Sales, Husband, White, Male,50, United-States,46200
49, Local-gov, Assoc-voc, Married-civ-spouse,186,2, Craft-repair, Husband, Black, Male,40, United-States,125735
55, Private, Some-college, Married-civ-spouse,164,4, Sales, Husband, White, Male,56, United-States,23367
22, Private, HS-grad, Never-married,191,3, Craft-repair, Not-in-family, White, Male,41, United-States,27850
21, Private, Some-college, Never-married,183,2, Other-service, Own-child, White, Female,40, United-States,33862
40, Private, Bachelors, Married-civ-spouse,158,2, Exec-managerial, Husband, White, Male,60, United-States,41927
30, Private, Bachelors, Never-married,154,6, Exec-managerial, Own-child, Black, Male,40, Germany,37603
